,quarters,ratings,title_senti,pnc_senti,work_duration,current_employee,recommend,ceo_approval,business_outlook,recommend_minus,ceo_minus,business_minus,ceo_same,business_same,recommend_plus,ceo_plus,business_plus,*_*,area_bay,balance_life,balance_work,balance_work-life,balance_work/life,benefit_great,cereal_free,change_world,cut_edge,day_week,elon_musk,end_quarter,fast_pace,hour_long,life_work,management_upper,none_none,option_stock,“_”,earnings,pred_column
1,Q2,0.10294117647058841,0.84,0.5544041450777201,0.7570566578032321,1,2,2,0,0.3636363636363637,0.5,0.0,0.25,0.5,0.33333333333333337,0.5088888888888887,0.0,0.13887479836631622,0.1065920631121524,0.17791303992632693,0.06638655462184877,0.18435184778727512,0.06638655462184877,0.8,0.25541549953314663,0.12269413936543566,-0.16413470340889696,0.11280389759572089,0.1941266575217193,0.10473841243632911,0.2738069507146293,0.06638655462184877,0.15516435519965635,0.1331932773109244,0.1716041781450872,0.21878545855220488,0.28192842122604034,-105.6,0.0
2,Q3,0.0,1.0,0.0,0.0,0,-1,2,-1,1.0,1.0,1.0,0.0,1.0,0.0,0.5088888888888887,0.3333333333333333,0.13887479836631622,0.1065920631121524,0.17791303992632693,0.14688145905042738,0.18435184778727512,0.07558115366972498,0.5064909993640623,0.2842358703627099,0.12269413936543566,-0.6,0.11280389759572089,0.1941266575217193,0.10473841243632911,0.2738069507146293,0.10899843963694208,0.15516435519965635,0.08218691669546273,0.1716041781450872,0.21878545855220488,0.28192842122604034,-110.8,0.0
3,Q4,0.9264705882352944,0.8472727272727271,1.0,0.7387630394763758,1,2,2,2,0.04545454545454546,0.0,0.0,0.25,0.0,1.0,0.7544444444444444,1.0,0.13887479836631622,0.1065920631121524,0.17791303992632693,0.04999999999999998,0.18435184778727512,0.04999999999999998,0.3,0.2842358703627099,0.12269413936543566,-0.08143939393939394,0.11280389759572089,0.1941266575217193,0.10473841243632911,0.2738069507146293,0.10899843963694208,0.15516435519965635,0.08218691669546273,0.1716041781450872,0.21878545855220488,0.28192842122604034,-89.93,1.0
4,Q5,0.10294117647058841,0.0,0.8290155440414508,0.9280272039271836,1,2,2,2,0.3636363636363637,1.0,0.5,0.0,1.0,0.6666666666666666,0.5088888888888887,0.3333333333333333,0.13887479836631622,0.1065920631121524,0.17791303992632693,0.14688145905042738,0.18435184778727512,-0.875,0.5064909993640623,0.2091499409681228,0.12269413936543566,-0.16413470340889696,0.11280389759572089,0.1941266575217193,0.10473841243632911,0.2738069507146293,0.10899843963694208,0.15516435519965635,0.08218691669546273,0.1716041781450872,0.21878545855220488,0.28192842122604034,11.25,1.0
5,Q6,0.5661764705882355,0.8836363636363638,0.466321243523316,0.6176684904888528,1,2,2,2,0.20454545454545459,0.25,0.75,0.0,0.25,0.5000000000000001,0.6316666666666666,0.5,0.13887479836631622,0.1065920631121524,0.0016666666666666607,0.0016666666666666607,0.18435184778727512,0.07558115366972498,0.5064909993640623,0.2842358703627099,0.009999999999999986,0.30000000000000004,0.11280389759572089,0.30000000000000004,0.10473841243632911,0.44999999999999996,0.10899843963694208,0.0016666666666666607,0.0033333333333333214,0.1716041781450872,0.21878545855220488,0.28192842122604034,-30.5,0.0
6,Q7,0.5147058823529412,0.2872727272727273,0.3911917098445598,0.49657394150132955,1,2,2,2,0.3636363636363637,0.0,0.5,0.0,0.0,0.6666666666666666,1.0,0.8333333333333334,0.13887479836631622,0.1065920631121524,0.08333333333333333,0.08333333333333333,0.10208333333333333,0.07558115366972498,0.5064909993640623,0.2842358703627099,0.12269413936543566,0.38,0.11280389759572089,0.1941266575217193,0.10473841243632911,0.2738069507146293,0.10899843963694208,0.08333333333333333,0.08218691669546273,0.1716041781450872,0.21878545855220488,0.10059523809523808,-38.5,0.0
7,Q8,1.0,0.7194805194805195,0.546262028127313,0.2145596528650323,1,2,2,2,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.761904761904762,0.579047619047619,0.5714285714285714,0.13887479836631622,0.1065920631121524,0.17791303992632693,0.14688145905042738,0.18435184778727512,0.07558115366972498,0.5064909993640623,0.2842358703627099,0.12269413936543566,-0.08124999999999999,0.11280389759572089,0.1941266575217193,0.10473841243632911,0.2738069507146293,0.33777777777777773,0.15516435519965635,0.08218691669546273,0.1716041781450872,0.21878545855220488,0.28192842122604034,-16.26,1.0
8,Q9,0.5919117647058825,0.33318181818181825,0.43814766839378255,0.603675023010841,1,2,2,2,0.20454545454545459,0.1875,0.375,0.0,0.375,0.8333333333333334,0.9079166666666667,0.6875,0.13887479836631622,0.1065920631121524,0.12857142857142856,0.12857142857142856,0.18435184778727512,0.07558115366972498,0.5064909993640623,0.2842358703627099,0.12269413936543566,-0.10119047619047619,0.11280389759572089,0.1941266575217193,0.10473841243632911,0.2738069507146293,0.11666666666666668,0.12857142857142856,0.08218691669546273,0.6,0.0,0.28192842122604034,-49.8,0.0
9,Q10,0.7285067873303169,0.801958041958042,0.7078517337584693,0.17001471120411604,1,2,2,2,0.1678321678321679,0.6923076923076924,0.46153846153846156,0.23076923076923078,0.46153846153846156,0.717948717948718,0.3199999999999999,0.6153846153846154,0.1660714285714286,0.1065920631121524,0.17791303992632693,0.07916666666666668,0.18435184778727512,-0.875,0.55,0.15907738095238097,0.12269413936543566,-0.16413470340889696,0.11280389759572089,0.1941266575217193,-0.025,0.2738069507146293,0.10674603174603176,0.15516435519965635,0.2,0.1716041781450872,0.21878545855220488,0.28192842122604034,-61.9,0.0
10,Q11,0.376267748478702,0.5102194357366772,0.7772020725388601,0.41896393028685086,1,2,2,2,0.1880877742946709,0.0,0.10344827586206896,0.3103448275862069,0.7241379310344829,0.7816091954022989,0.6443678160919539,0.7241379310344828,0.13887479836631622,0.625,0.029166666666666674,0.07287990196078432,0.20286458333333335,0.07558115366972498,0.3357952069716776,0.4,-0.03787878787878788,-0.6,0.11280389759572089,0.11333333333333334,0.10473841243632911,0.3242361111111111,0.1268939393939394,0.038888888888888896,0.08402777777777778,0.06666666666666667,0.31764705882352945,0.28192842122604034,-74.71,0.0
11,Q12,0.6355498721227623,0.5029249011857707,0.5345798603289028,0.6827416471760034,1,2,2,2,0.22529644268774707,0.13043478260869565,0.13043478260869565,0.06521739130434782,0.2608695652173913,0.7246376811594203,0.6797101449275362,0.8260869565217391,0.13887479836631622,0.1065920631121524,0.21055555555555555,0.21055555555555555,0.18435184778727512,0.0,0.6625000000000001,0.2842358703627099,-0.09722222222222225,-0.125,0.18333333333333335,0.1941266575217193,0.10473841243632911,0.5,0.225,0.23789682539682538,0.08218691669546273,0.1716041781450872,0.0,0.28192842122604034,-107.63,0.0
12,Q13,0.2941176470588236,0.20207792207792213,0.5955588452997775,0.5226222131315199,1,2,2,2,0.5454545454545455,0.17142857142857143,0.34285714285714286,0.08571428571428572,0.6857142857142857,0.3047619047619048,0.3685714285714285,0.5428571428571428,0.13887479836631622,0.27037037037037037,-0.023472222222222217,0.025231481481481483,0.07569444444444445,0.07558115366972498,0.375,0.206,0.08750000000000001,-0.2247685185185185,0.11280389759572089,-0.025,0.10473841243632911,0.2738069507146293,0.005208333333333336,-0.1140625,0.16944444444444443,0.46479166666666666,0.21878545855220488,0.28192842122604034,-154.18,0.0
13,Q14,0.41614518147684615,0.13748549323017412,0.4517693749310991,0.5107721197825774,1,2,2,2,0.2959381044487428,0.19148936170212766,0.3191489361702128,0.03191489361702128,0.6382978723404256,0.524822695035461,0.37304964539007096,0.5106382978723404,0.13887479836631622,-0.3888888888888889,0.5166666666666667,0.14688145905042738,-0.0066666666666666445,0.0,0.42357954545454546,0.3125,0.14203869047619047,0.16375,0.240625,-0.325,0.10473841243632911,0.1,0.075625,0.15516435519965635,0.08218691669546273,-0.08888888888888889,0.425,0.28192842122604034,-184.23,0.0
