,Star_Rating,Review_Title,Pros,Cons,Review_Title_sentiment_score_normalization,Pros_And_Cons,Pros_And_Cons_sentiment_score_normalization,Review_Title_sentiment_score_vader,Pros_And_Cons_sentiment_score_vader,Review_Title_Flair,Pros_And_Cons_Flair
0,5.0,Best employer so far,"I’m still a bit new, but I have very good impressions so far. I have 10 years exp at 5+ other companies (although no other tech companies) and this is the best by a good margin. 

First off, everyone is nice here! Yes, folks are ambitious, but there is a shockingly small percentage of jerks here… not sure exactly how they are weeded out, but I’m grateful for it!

Lots of small benefits and well-run systems give the overwhelming feeling that this company just generally has its sh*t together. Shuttles, good food, good internal chat and groups system, not too many meetings or emails (much better than other companies!), great tech stack and automation, etc etc. 

Pretty good transparency and communication with leadership (e.g., weekly CEO/CTO Q&As). They are open to feedback and change when needed, without too much unnecessary reorg-ing and pivoting. Good examples recently are moving to annual performance reviews after years of complaints with 6-month cycle, decoupling Oculus and FB accounts, and killing facial recognition. 

Comp is fantastic, and relatively standardized within levels. Engineers don’t have different titles between levels, we’re all just software engineers. This was weird at first, but is a really cool feature that discourages dumb hierarchies. 

Work life balance is totally reasonable in my experience, but might be different on other teams. 

Mark is great, I don’t really understand why folks dislike him externally.","Some risk with new company direction. The metaverse shift is gutsy. It seems like a reasonable move, but if it doesn’t pan out, Meta might not be the same tech giant in 10-15 years. 

Like any big company, it has its share of internal koolaid/propaganda (but criticism/feedback is still welcomed and discussed openly) 

The (largely overblown) negative media coverage can lead to some family and friends judging you a bit for where you work, if you care about that sort of thing.",0.33,"I’m still a bit new, but I have very good impressions so far. I have 10 years exp at 5+ other companies (although no other tech companies) and this is the best by a good margin. 

First off, everyone is nice here! Yes, folks are ambitious, but there is a shockingly small percentage of jerks here… not sure exactly how they are weeded out, but I’m grateful for it!

Lots of small benefits and well-run systems give the overwhelming feeling that this company just generally has its sh*t together. Shuttles, good food, good internal chat and groups system, not too many meetings or emails (much better than other companies!), great tech stack and automation, etc etc. 

Pretty good transparency and communication with leadership (e.g., weekly CEO/CTO Q&As). They are open to feedback and change when needed, without too much unnecessary reorg-ing and pivoting. Good examples recently are moving to annual performance reviews after years of complaints with 6-month cycle, decoupling Oculus and FB accounts, and killing facial recognition. 

Comp is fantastic, and relatively standardized within levels. Engineers don’t have different titles between levels, we’re all just software engineers. This was weird at first, but is a really cool feature that discourages dumb hierarchies. 

Work life balance is totally reasonable in my experience, but might be different on other teams. 

Mark is great, I don’t really understand why folks dislike him externally.Some risk with new company direction. The metaverse shift is gutsy. It seems like a reasonable move, but if it doesn’t pan out, Meta might not be the same tech giant in 10-15 years. 

Like any big company, it has its share of internal koolaid/propaganda (but criticism/feedback is still welcomed and discussed openly) 

The (largely overblown) negative media coverage can lead to some family and friends judging you a bit for where you work, if you care about that sort of thing.",0.07,0.64,1.0,0.9990571141242981,0.9984410405158997
1,5.0,Great place,Challenging work and great salary,Lots of new people- culture is getting diluted,0.5,Challenging work and great salaryLots of new people- culture is getting diluted,0.11,0.62,0.69,0.9918233752250671,0.7801308631896973
2,5.0,Visionary and Innovative,The management is efficient and the vision is clear,"It's a big company, so you'll likely be working on a very small piece of the system. Growth opportunities are still there though and as far as Big Tech goes, it's one of the most dynamic",1.0,"The management is efficient and the vision is clearIt's a big company, so you'll likely be working on a very small piece of the system. Growth opportunities are still there though and as far as Big Tech goes, it's one of the most dynamic",0.1,0.74,0.9,0.999853253364563,0.9995317459106445
3,5.0,Great company to work for,"Amazing company, so many smart, kind people and the work is fast-paced and interesting.","Bad media headlines, but that doesn't distract us from our long term mission.",0.67,"Amazing company, so many smart, kind people and the work is fast-paced and interesting.Bad media headlines, but that doesn't distract us from our long term mission.",0.17,0.62,0.79,0.9981180429458618,0.9988107681274414
4,5.0,good,"good to work , and gives you good experience.",the work load is quite heavy,1.0,"good to work , and gives you good experience.the work load is quite heavy",0.44,0.44,0.7,0.9313952922821045,0.9774676561355591
5,5.0,good,"great experience
good pay
smart people around","stressful environment
lack of role clarity",1.0,"great experience
good pay
smart people aroundstressful environment
lack of role clarity",0.27,0.44,0.87,0.9313952922821045,-0.5520284175872803
6,5.0,Great,"Culture, People, Management, Amenities, Comp","PR, Visibility, Media Cycles, Competitive",1.0,"Culture, People, Management, Amenities, CompPR, Visibility, Media Cycles, Competitive",0.22,0.62,0.18,0.99007648229599,0.9979093670845032
7,5.0,good,good company good companygood company,nothing to review good company,1.0,good company good companygood companynothing to review good company,0.38,0.44,0.83,0.9313952922821045,0.944934606552124
8,5.0,Really Awesome Company,"+ considerate for each individual
+ cares about employee's personal growth",+Frequent re-org brings in some pressure for new employees.,0.33,"+ considerate for each individual
+ cares about employee's personal growth+Frequent re-org brings in some pressure for new employees.",0.08,0.66,0.57,0.9943390488624573,0.9920452833175659
9,5.0,Great company to work for!!,Work life balance very competitive salary.,Work life balance seems more Work during pandemic,0.67,Work life balance very competitive salary.Work life balance seems more Work during pandemic,0.36,0.69,0.25,0.9994215965270996,0.7519221901893616
